,url,doc_id,author_name,author_role,description,source,image_link
13,https://drive.google.com/open?id=1iNIR60YIrNkLUq5yzKgFye2xUW3DvDxlaRdHMHhij2I,,Sahana Venkatesh,Software Engineer,"TechCrunch Disrupt 2024 brought together global tech leaders to explore cutting-edge innovations. I interviewed Madhuvanthi Venkatesh, a data scientist and AI meetup organizer, about her key takeaways: the rise of “tiny LLMs,” the importance of real networking, and Silicon Valley’s leadership in AI.",Madhu shared her photo,https://drive.google.com/open?id=1u8CVojKsJWEnwFgS_oo9JyDMuhe4Aocp
14,https://drive.google.com/open?id=1eivs1x6Drqz6sYjOpL1qRpNicXnC6AS4,,Julia Babahina,Lead Risk Management Specialist ,How to build a career development plan,Created in canvas and power point ,https://drive.google.com/open?id=1MK53v0jBvnzHW9ftWDBB67_dkOHEiDyV
15,https://drive.google.com/open?id=1bYFPwxSrdCAKV06vROjRxrMe1xSMnqxyE2-9UygO_pY,,Peace Onyehanere,Software Engineer,Preparing for the AWS Certification Exam,Google search,https://drive.google.com/open?id=1m_J8yjLFZRRVPVcNlNNuld-7FifMvSYM
16,https://drive.google.com/open?id=13-rdjlPEaMP2x8-SKCFP9wwvoAU6UdA3,,Angela Busato,Frontend Software Developer,"I used the question suggested in the meetup ""What inspired me to start coding, and how has it changed my life?”",From Codemotion Conference,https://drive.google.com/open?id=1b2U_X904TWN13HXivBs3HlHgGhrNor2r
17,https://drive.google.com/open?id=1sfB-6ziaDEiStmM95pSYlcGhDsDXTJ8ZCaud7Uhxi5M,,Sahana Venkatesh,WCC newsletter,"This article highlights the journey of the winning team in the Gemma2 AI Challenge, a hackathon hosted by Lablab AI and the Gemma team at Google. It explores the team's ideation process, the technical aspects of their innovative Chrome extension, and the power skills—such as teamwork, perseverance, and effective communication—that played a key role in their success. The article provides insights into the challenges faced, solutions developed, and valuable lessons learned, offering inspiration for aspiring developers and AI enthusiasts.",Ying gave it to me.,https://drive.google.com/open?id=1yXKkfTqX60xZG9Zj8HbeVE0pTCb6e-LG
18,https://drive.google.com/open?id=12EU2xARTWzdYMwXCA-vSR58Mh5uwbuuJ,,Irina Kamalova,VP Lead Software Engineer @ JPMorgan Chase,"Mid to Senior Engineer: Two strategies 
",Excalidraw,https://drive.google.com/open?id=1BNXzcINjXCqhBXtJgZmN-DnfSB1hQN9-
19,https://drive.google.com/open?id=1Zh2AYmfoYwTt491rqABm9gX-HnE84UbU,,Nino Godoradze,Data Scientist as Bank of Georgia,"Atomic Habits: Small Changes, Real Results",https://www.pexels.com/search/,https://drive.google.com/open?id=1-9GQvSObuaVtRXA_rCIbr9F5XcneM-k9
20,https://drive.google.com/open?id=13a94d83AEDYD54weCc7RJp0Arfr8WysC,,Büşra Ç. T. (This is how I'd like my name to look like on the post),-,"A personal reflection on learning to code as a self-taught developer, battling imposter syndrome, and how mentorship helped me stop looking only at what I lacked and start seeing how far I’d come.",Chat GPT,https://drive.google.com/open?id=1V8-BoTDdHb685ttRVZKkXOUUjfhp1ZDz
21,https://drive.google.com/open?id=1SaT3sHo0P1dG1lFus8HrLnd0W5TKBJ-_JkSvUEF1oxY,,Rajani Rao,"Principal Technologist, AVEVA","When They Said It Was Over, We Said It Was Just Beginning: Our First Year as WomenCodingCommunity",From my phone,https://drive.google.com/open?id=1GOjXhgfHclTdkqHhWX-LHuBCvWStcNFm
22,https://drive.google.com/open?id=146OJMkVYqteZIT_dzsprMqgyAPE91DBl,,Silke Nodwell,Analyst at Altus Group & Lead at Women Coding Community,"After running a four-week Atomic Habits challenge with the Women Coding Community, I put a few strategies to the test — from early wake-ups to study sessions in coffee shops. In this post, I reflect on what worked, what surprised me, and how one small change to my morning routine helped me finally move past procrastination.","Generated with Nebius AI studio, model black-forest-labs/flux-dev",https://drive.google.com/open?id=1X9bGhSMxvmFVkRFUMWI_7fZzNYYTiaB-
23,https://docs.google.com/document/d/1V6balLTykSgUqVfIjOVL6uXxB80lIc4hCiRqqSaWGQE/edit?tab=t.0#heading=h.w2lwu8m6kvda,1V6balLTykSgUqVfIjOVL6uXxB80lIc4hCiRqqSaWGQE,Eleonora Belova,Lead at Women Coding Community,"What started as a side project with just a handful of Google Forms has since grown into a vibrant mentorship community, which helped people grow, land new roles, and build meaningful connections along the way.",,
24,https://nishiajmera.com/never-eat-alone-book-summary-80c571603306,,Nishi Ajmera,Manager Technology ,Summary of the book never eat alone,,
25,https://docs.google.com/document/d/1PMMpTQZZ9r4dUAY9WZAapEuJ6_rfSY9Fv3FSp90gNPw/edit?usp=sharing,1PMMpTQZZ9r4dUAY9WZAapEuJ6_rfSY9Fv3FSp90gNPw,Udeme Jalekun,Senior QA Engineer / Raenest ,"I can write on software and specialised testing like microservice testing, security testing, and accessibility. I also write on roadmap and career development planning, mentorship, and  leadership.",Gemini,https://drive.google.com/open?id=1DF08PAjvFPBv8ZGigjwiaFn1JP8TUHg7
26,https://docs.google.com/document/d/1ttn2qP6OuA9wPmCx-zkHqtklykMDWNYTFqGyNZzisgM/edit?usp=sharing,1ttn2qP6OuA9wPmCx-zkHqtklykMDWNYTFqGyNZzisgM,Silke Nodwell,Lead at Women Coding Community,"A behind-the-scenes look at how four women from Women Coding Community, spanning three countries and time zones, built a donor-focused platform for the GNEC Hackathon and placed 3rd out of more than 150 teams. From forming the team on Slack to designing an impact tracker, foodbank map and natural-language charity recommender, this post reflects on collaboration, problem solving and what it takes to succeed in a global hackathon.",,https://drive.google.com/open?id=1o4byZahHg6KpqvKlJU_IJ0RKZ-nmcMnw
